scheme_id,group_ids,mapping_class,mapping_notes
BASE_FP16,FP_MAC_FP16_E5M10,DIRECT_KERNEL,Same-format DW FP16 MAC; does not model a larger accumulator.
BASE_BF16,FP_MAC_BF16_E8M7,DIRECT_KERNEL,Same-format DW BF16 MAC.
INT_W8A8_KV16,INT_MAC_W8_A8_N64;PE_W8A8_L4,DIRECT_COMPOSITE,Scalar and packed PE references.
INT_W8A8_KV8,INT_MAC_W8_A8_N64;PE_W8A8_L4;KV_DEQ_I8_BYPASS_L16,DIRECT_COMPOSITE,KV storage macro area is not included.
FP8_W8A8_KV16,FP_MAC_FP8_E4M3;FP_MAC_FP8_E5M2,FORMAT_VARIANTS,Select E4M3 or E5M2; accumulator contract must match target architecture.
MXFP8_W8A8_KV16,INT_MAC_W8_A8_N64;PE_W8A8_L4;REQUANT_I32_TO_I8,SURROGATE_COMPOSITE,MX shared-scale control is not fully reproduced.
INT_W4A16_KV16,INT_MAC_W4_A16_N64;PE_W4A16_L2,PAYLOAD_DIRECT,This is integer A16; FP16 activation requires a different mixed FP architecture.
MXFP4_W4A16_KV16,INT_MAC_W4_A16_N64;PE_W4A16_L2;REQUANT_I32_TO_I8,SURROGATE_COMPOSITE,MX scaling logic is approximated.
INT_W4A8_KV16,INT_MAC_W4_A8_N64;PE_W4A8_L4,DIRECT_COMPOSITE,
MXFP4_W4A8_KV16,INT_MAC_W4_A8_N64;PE_W4A8_L4;REQUANT_I32_TO_I8,SURROGATE_COMPOSITE,MX shared scale is approximated.
MXFP4_W4A8_KV8,INT_MAC_W4_A8_N64;PE_W4A8_L4;REQUANT_I32_TO_I8;KV_DEQ_I8_BYPASS_L16,SURROGATE_COMPOSITE,
QOQ_W4A8_KV4,PE_W4A8_L4;REQUANT_I32_TO_I8;KV_DEQ_I4_TO_I8_L16,COMPOSITE_REFERENCE,QoQ progressive quantization details are not reproduced.
QOQ_W4A8_KV4_G128,PE_W4A8_L4;REQUANT_I32_TO_I8;KV_DEQ_I4_TO_I8_L16,COMPOSITE_REFERENCE,Group metadata/control and cache macro area remain separate.
QUAROT_W4A8_KV4,PE_W4A8_L4;KV_DEQ_I4_TO_I8_L16,COMPOSITE_REFERENCE,Rotation network is not included.
P3_W4A8_KV4_P8,PE_RECONFIG_W4A8_W8A8_SCALE;KV_DEQ_I4_TO_I8_L16,SURROGATE_COMPOSITE,Exact P3 PE/PIM RTL is required for paper-equivalent reproduction.
INT_W4A4_KV16,INT_MAC_W4_A4_N64;PE_W4A4_L8,DIRECT_COMPOSITE,
MXFP4_W4A4_KV16,INT_MAC_W4_A4_N64;PE_W4A4_L8;REQUANT_I32_TO_I4,SURROGATE_COMPOSITE,
QUAROT_W4A4_KV16,INT_MAC_W4_A4_N64;PE_W4A4_L8,PAYLOAD_REFERENCE,Rotation network not included.
ATOM_W4A4_KV16_G128,INT_MAC_W4_A4_N64;PE_W4A4_L8,PAYLOAD_REFERENCE,Outlier/mixed precision logic not included.
COMET_FMPQ_W4AX_KV4,PE_RECONFIG_W4A4_W4A8_W8A8;KV_DEQ_I4_TO_I8_L16,COMPOSITE_REFERENCE,FMPQ layer/block assignment is not encoded in one PE area.
KVONLY_KV8,KV_DEQ_I8_BYPASS_L16,LOGIC_ONLY,KV SRAM macro area requires memory compiler data.
KVONLY_K8V4,KV_DEQ_MIXED_2_4_8_TO_I8_L16,LOGIC_ONLY,K/V asymmetric storage macro area is not included.
KVONLY_KV4,KV_DEQ_I4_TO_I8_L16,LOGIC_ONLY,KV SRAM macro area requires memory compiler data.
KVONLY_K4V2,KV_DEQ_MIXED_2_4_8_TO_I8_L16,LOGIC_ONLY,
KVONLY_K2V4,KV_DEQ_MIXED_2_4_8_TO_I8_L16,LOGIC_ONLY,
P3_KV4,KV_DEQ_I4_TO_I8_L16,LOGIC_SURROGATE,P3 scale/zero format is only approximated.
OAKEN_KV4,KV_DEQ_I4_TO_I8_L16,LOGIC_SURROGATE,
KIVI_KV2_RESIDUAL,KV_DEQ_I2_TO_I8_L16,PARTIAL,Residual full-precision window and cache macro are excluded.
KVQUANT_KV3,KV_DEQ_I3_TO_I8_L16,PARTIAL,Sparse outlier metadata and cache macro are excluded.
KVTUNER_MIXED_5P96,KV_DEQ_MIXED_2_4_8_TO_I8_L16,LOGIC_ONLY,Layer map controls storage capacity; use effective bits separately.
KVTUNER_MIXED_3P92,KV_DEQ_MIXED_2_4_8_TO_I8_L16,LOGIC_ONLY,
KVTUNER_MIXED_5P0,KV_DEQ_MIXED_2_4_8_TO_I8_L16,LOGIC_ONLY,
KVTUNER_MIXED_4P0,KV_DEQ_MIXED_2_4_8_TO_I8_L16,LOGIC_ONLY,
KVTUNER_MIXED_3P25,KV_DEQ_MIXED_2_4_8_TO_I8_L16,LOGIC_ONLY,
KITTY_NEAR2_MIXED,KV_DEQ_MIXED_2_4_8_TO_I8_L16,PARTIAL,Dynamic channel selector and metadata policy require exact RTL.
GENERIC_W2A8_KV4,INT_MAC_W2_A8_N64;KV_DEQ_I4_TO_I8_L16,PAYLOAD_REFERENCE,
GENERIC_W3A8_KV4,INT_MAC_W3_A8_N64;KV_DEQ_I4_TO_I8_L16,PAYLOAD_REFERENCE,
GENERIC_W4A6_KV4,INT_MAC_W4_A6_N64;KV_DEQ_I4_TO_I8_L16,PAYLOAD_REFERENCE,
