group_id,architecture_class,rtl_topology,supported_modes,int_w_bits,int_a_bits,fp_sig_width,fp_exp_width,throughput_contract,accumulator_contract,notes,run_id,clock_period_ns,clock_mhz,run_dir,rtl_list,rtl_bundle_sha256
MIXREF_INT_W4A8_L4,reference,existing_packed_dot,W4A8,4,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W4A8_L4__T2p0ns,2.0,500.0,evidence/baseline/MIXREF_INT_W4A8_L4__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
MIXREF_INT_W4A8_L4,reference,existing_packed_dot,W4A8,4,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W4A8_L4__T1p0ns,1.0,1000.0,evidence/baseline/MIXREF_INT_W4A8_L4__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
MIXREF_INT_W4A8_L4,reference,existing_packed_dot,W4A8,4,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W4A8_L4__T0p9ns,0.9,1111.111111111111,evidence/baseline/MIXREF_INT_W4A8_L4__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
MIXREF_INT_W8A8_L4,reference,existing_packed_dot,W8A8,8,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W8A8_L4__T2p0ns,2.0,500.0,evidence/baseline/MIXREF_INT_W8A8_L4__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
MIXREF_INT_W8A8_L4,reference,existing_packed_dot,W8A8,8,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W8A8_L4__T1p0ns,1.0,1000.0,evidence/baseline/MIXREF_INT_W8A8_L4__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
MIXREF_INT_W8A8_L4,reference,existing_packed_dot,W8A8,8,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W8A8_L4__T0p9ns,0.9,1111.111111111111,evidence/baseline/MIXREF_INT_W8A8_L4__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
MIXREF_FP8_E4M3,reference,existing_fp_mac,FP8xFP8,,,3,4,1 FP MAC/cycle,same-format FP8,Repeat existing anchor,MIXREF_FP8_E4M3__T2p0ns,2.0,500.0,evidence/baseline/MIXREF_FP8_E4M3__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
MIXREF_FP8_E4M3,reference,existing_fp_mac,FP8xFP8,,,3,4,1 FP MAC/cycle,same-format FP8,Repeat existing anchor,MIXREF_FP8_E4M3__T1p0ns,1.0,1000.0,evidence/baseline/MIXREF_FP8_E4M3__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
MIXREF_FP8_E4M3,reference,existing_fp_mac,FP8xFP8,,,3,4,1 FP MAC/cycle,same-format FP8,Repeat existing anchor,MIXREF_FP8_E4M3__T0p9ns,0.9,1111.111111111111,evidence/baseline/MIXREF_FP8_E4M3__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
MIXREF_BF16,reference,existing_fp_mac,BF16xBF16,,,7,8,1 FP MAC/cycle,same-format BF16,Repeat existing anchor,MIXREF_BF16__T2p0ns,2.0,500.0,evidence/baseline/MIXREF_BF16__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250
