group_id,top_kind,fixed_mode,support_fp8,support_bf16,support_i4_fp8,support_i4_bf16,support_i8_bf16,support_specials,expected_bricks,throughput_contract,comparison_role,notes,run_id,run_dir,clock_period_ns,clock_mhz,top_module,keep_bricks,rtl_input_sha256,library_set_id,mapped_cell_area_um2,combinational_area_um2,noncombinational_area_um2,buf_inv_area_um2,leaf_cell_count,blackbox_count,brick_instance_count_precompile,dw_mult_instance_count_precompile,dw_mult_4x4_rows,other_multiplier_rows,bf16_add_rows,fp32_add_rows,source_bf16_add_instances,source_fp32_add_instances,wns_ns,critical_delay_ns,achieved_fmax_mhz,timing_met,critical_startpoint,critical_endpoint,critical_path_group,critical_path_type,reported_slack_ns,dc_error_count,tool_version,rtl_input_sha256_reported,library_setup_sha256,dc_max_cores,compile_mode_reported,input_transition,output_load,max_transition,clock_uncertainty_ratio,input_delay_ratio,output_delay_ratio,status,report_dir
V2_BF16_ACCUM_ONLY,bf16_accum,,0,0,0,0,0,0,0,Four BF16 dot reductions and four BF16 accumulations/cycle,accumulator_area,16 BF16 DW_fp_add instances,V2_BF16_ACCUM_ONLY,evidence/runs/V2_BF16_ACCUM_ONLY,1.0,1000.0,char_top,0,16cebf63900e31ef5179700a3171e970e81853fdf7843cfbb479d269fe2245f9,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,6270.992,5695.235062,575.756991,741.467991,13559.0,0.0,0.0,0.0,0,0,16,0,4,0,1.42455e-05,0.9999857545,1000.0142457,1,lane_item_packed_i[167],u_dut/pair23_q_reg[2][6],clk,max,0.0,0,X-2025.06-SP3,16cebf63900e31ef5179700a3171e970e81853fdf7843cfbb479d269fe2245f9,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_BF16_ACCUM_ONLY/reports
V2_BF16_ONLY_BF16ACC_FIXED,fixed_cluster,3,0,1,0,0,0,0,16,4 BF16 products and four BF16 accumulations/cycle,dedicated_bf16_reference,Four bricks per product,V2_BF16_ONLY_BF16ACC_FIXED,evidence/runs/V2_BF16_ONLY_BF16ACC_FIXED,1.0,1000.0,char_top,0,98a631c88cd88632d422ca859053bec744aa8c29abb28c56926cede9408f5389,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,3594.136,2368.275025,1225.86098,272.908996,6307.0,0.0,16.0,16.0,16,0,16,0,4,0,7.08103e-05,0.9999291897,1000.07081531,1,u_dut/u_bf16_accum/acc_o_reg[2][12],u_dut/u_bf16_accum/status_o_reg[2][5],clk,max,0.0,0,X-2025.06-SP3,98a631c88cd88632d422ca859053bec744aa8c29abb28c56926cede9408f5389,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_BF16_ONLY_BF16ACC_FIXED/reports
V2_BRICK16_BARE_PROOF,brick_proof,,0,0,0,0,0,0,16,16 unsigned 4x4 products/cycle,structural_lower_bound,Must retain exactly 16 DW_mult_uns 4x4,V2_BRICK16_BARE_PROOF,evidence/runs/V2_BRICK16_BARE_PROOF,1.0,1000.0,char_top,1,93b44db05c769a9c47d91963c7bb006ffc1d266ceae0dfc56f27d72d347b6c28,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,222.859,1.547,221.311996,1.547,150.0,0.0,16.0,16.0,0,0,0,0,4,0,0.776135,0.223865,4466.97786612,1,p_o_reg[113],p_o[113] (output port clocked by clk),clk,max,0.78,0,X-2025.06-SP3,93b44db05c769a9c47d91963c7bb006ffc1d266ceae0dfc56f27d72d347b6c28,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_BRICK16_BARE_PROOF/reports
V2_CORE_BASE4_FTZ,product_core,,1,1,0,0,0,0,16,I4I8/I8I8/FP8/BF16 product pipe,mode_ablation_base,No mixed integer-floating modes,V2_CORE_BASE4_FTZ,evidence/runs/V2_CORE_BASE4_FTZ,1.0,1000.0,char_top,0,2c3347453cb325d31a755a1308f41765415ad32663233fbd8b8884608433f35d,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,4492.124,2318.771028,2173.352965,167.621997,6859.0,0.0,16.0,16.0,16,0,0,0,4,0,0.000204325,0.999795675,1000.20436676,1,u_dut/fp_raw_q_reg[12][14],u_dut/bf16_lane_item_o_reg[3][0][14],clk,max,0.0,0,X-2025.06-SP3,2c3347453cb325d31a755a1308f41765415ad32663233fbd8b8884608433f35d,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_CORE_BASE4_FTZ/reports
V2_CORE_FULL7_FTZ,product_core,,1,1,1,1,1,0,16,All seven v2 modes,product_core_goal,No I8FP8 no I16 no I4I4,V2_CORE_FULL7_FTZ,evidence/runs/V2_CORE_FULL7_FTZ,1.0,1000.0,char_top,0,f552bec183433904c314ce5c04a7ea07cb20c95ba635f36fb8c0735540f30b5f,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,4962.867,2730.728039,2232.138964,189.097997,7864.0,0.0,16.0,16.0,16,0,0,0,4,0,6.90818e-05,0.9999309182,1000.06908657,1,u_dut/fp_raw_q_reg[12][11],u_dut/bf16_lane_item_o_reg[3][0][14],clk,max,0.0,0,X-2025.06-SP3,f552bec183433904c314ce5c04a7ea07cb20c95ba635f36fb8c0735540f30b5f,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_CORE_FULL7_FTZ/reports
V2_CORE_FULL7_SPECIAL,product_core,,1,1,1,1,1,1,16,All seven modes plus NaN Inf,special_value_ablation,Compare with FTZ finite inference path,V2_CORE_FULL7_SPECIAL,evidence/runs/V2_CORE_FULL7_SPECIAL,1.0,1000.0,char_top,0,fa64fbba4342916f606e3310245aa3250bd65d42babed901a9e3374dcb726d09,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,5183.36,2830.191039,2353.168962,211.392996,8376.0,0.0,16.0,16.0,16,0,0,0,4,0,3.50475e-05,0.9999649525,1000.03504873,1,u_dut/fp_raw_q_reg[4][9],u_dut/bf16_lane_item_o_reg[1][0][14],clk,max,0.0,0,X-2025.06-SP3,fa64fbba4342916f606e3310245aa3250bd65d42babed901a9e3374dcb726d09,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_CORE_FULL7_SPECIAL/reports
V2_CORE_PLUS_I4BF16_FTZ,product_core,,1,1,1,1,0,0,16,Base plus I4FP8 plus I4BF16,mode_ablation_i4bf16,Cumulative ablation,V2_CORE_PLUS_I4BF16_FTZ,evidence/runs/V2_CORE_PLUS_I4BF16_FTZ,1.0,1000.0,char_top,0,553880c76d1c33f4ac6670a4dd3e1c1ceb4188857b4b119b14b2ab6bd10e963e,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,4952.311,2720.172037,2232.138964,188.005997,7838.0,0.0,16.0,16.0,16,0,0,0,4,0,0.000170887,0.999829113,1000.17091621,1,u_dut/fp_raw_q_reg[12][11],u_dut/bf16_lane_item_o_reg[3][0][14],clk,max,0.0,0,X-2025.06-SP3,553880c76d1c33f4ac6670a4dd3e1c1ceb4188857b4b119b14b2ab6bd10e963e,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_CORE_PLUS_I4BF16_FTZ/reports
V2_CORE_PLUS_I4FP8_FTZ,product_core,,1,1,1,0,0,0,16,Base plus I4FP8,mode_ablation_i4fp8,Measures native I4FP8 increment,V2_CORE_PLUS_I4FP8_FTZ,evidence/runs/V2_CORE_PLUS_I4FP8_FTZ,1.0,1000.0,char_top,0,7b114b9b74e557871d4e904a77305390803152ab4118f664ead5e9546818e670,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,4541.81,2415.14003,2126.669966,167.985997,7079.0,0.0,16.0,16.0,16,0,0,0,4,0,0.000187159,0.999812841,1000.18719404,1,u_dut/fp_raw_q_reg[8][14],u_dut/bf16_lane_item_o_reg[2][0][14],clk,max,0.0,0,X-2025.06-SP3,7b114b9b74e557871d4e904a77305390803152ab4118f664ead5e9546818e670,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_CORE_PLUS_I4FP8_FTZ/reports
V2_FP8_NATIVE_BF16ACC_FIXED,fixed_cluster,2,1,0,0,0,0,0,16,16 FP8 products and four BF16 dot4 accumulations/cycle,dedicated_fp8_reference,Native 4x4 significand products,V2_FP8_NATIVE_BF16ACC_FIXED,evidence/runs/V2_FP8_NATIVE_BF16ACC_FIXED,1.0,1000.0,char_top,0,fc7b082578f8017236b3ae60dab7cbdef3cb9964784602d1c67bccba2e8c5938,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,8738.639,6373.367065,2365.271962,773.772988,17006.0,0.0,16.0,16.0,16,0,16,0,4,0,3.03984e-06,0.99999696016,1000.00303985,1,u_dut/u_bf16_accum/pair23_q_reg[1][11],u_dut/u_bf16_accum/lane_sum_q_reg[1][10],clk,max,0.0,0,X-2025.06-SP3,fc7b082578f8017236b3ae60dab7cbdef3cb9964784602d1c67bccba2e8c5938,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_FP8_NATIVE_BF16ACC_FIXED/reports
V2_FP8_WIDEN_BF16ACC_FIXED,fp8_widen_bf16,,0,1,0,0,0,0,16,4 widened-FP8 BF16 products and four BF16 accumulations/cycle,widen_vs_native_fp8,FP8 exactly widens to BF16 but loses 4x product throughput,V2_FP8_WIDEN_BF16ACC_FIXED,evidence/runs/V2_FP8_WIDEN_BF16ACC_FIXED,1.0,1000.0,char_top,0,625837bc8879e7da4a43b6163c8ac0034a5c71a453254af74f4d5a0c404250a5,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,2755.389,1806.168015,949.220985,216.306997,4994.0,0.0,16.0,16.0,4,0,16,0,4,0,4.70877e-06,0.99999529123,1000.00470879,1,u_dut/u_cluster/u_bf16_accum/acc_o_reg[1][11],u_dut/u_cluster/u_bf16_accum/acc_o_reg[1][8],clk,max,0.0,0,X-2025.06-SP3,625837bc8879e7da4a43b6163c8ac0034a5c71a453254af74f4d5a0c404250a5,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,ok,evidence/runs/V2_FP8_WIDEN_BF16ACC_FIXED/reports
