family_rank,family,source_block_mmd,variant_index,variant,source_node_id,source_layer_name,class,execution_owner_v5,macro_op_v5,sequence_filename_v5,status,exclusion_reason_v6
26,Qwen3.8-Flash-Next Hybrid MoE,26_qwen3_8_flash_next_hybrid_moe.mmd,1,GDN + Gated Residual + Top-10 Routed/Shared MoE,f26v01_n001,Token ids for PLE n-gram context,input,ActivationReadDmaCore,OP_PLE,26a_qwen3_8_flash_next_gdn_moe_owner_timing_sequence_v5.mmd,new_family_official_source_mapping,"Qwen3.8 PLE is a layer-2/model prologue, not an ordinary decoder Block operator"
26,Qwen3.8-Flash-Next Hybrid MoE,26_qwen3_8_flash_next_hybrid_moe.mmd,1,GDN + Gated Residual + Top-10 Routed/Shared MoE,f26v01_n002,PLE n-gram hash (bigram / trigram),other,ElementwiseTransformCore,OP_PLE,26a_qwen3_8_flash_next_gdn_moe_owner_timing_sequence_v5.mmd,new_family_official_source_mapping,"Qwen3.8 PLE is a layer-2/model prologue, not an ordinary decoder Block operator"
26,Qwen3.8-Flash-Next Hybrid MoE,26_qwen3_8_flash_next_hybrid_moe.mmd,1,GDN + Gated Residual + Top-10 Routed/Shared MoE,f26v01_n003,N-gram Embedding rows,weight,ParamReadDmaCore,OP_PLE,26a_qwen3_8_flash_next_gdn_moe_owner_timing_sequence_v5.mmd,new_family_official_source_mapping,"Qwen3.8 PLE is a layer-2/model prologue, not an ordinary decoder Block operator"
26,Qwen3.8-Flash-Next Hybrid MoE,26_qwen3_8_flash_next_hybrid_moe.mmd,1,GDN + Gated Residual + Top-10 Routed/Shared MoE,f26v01_n004,PLE value projection,mac,SharedMatrixCore,OP_PLE,26a_qwen3_8_flash_next_gdn_moe_owner_timing_sequence_v5.mmd,new_family_official_source_mapping,"Qwen3.8 PLE is a layer-2/model prologue, not an ordinary decoder Block operator"
26,Qwen3.8-Flash-Next Hybrid MoE,26_qwen3_8_flash_next_hybrid_moe.mmd,1,GDN + Gated Residual + Top-10 Routed/Shared MoE,f26v01_n005,PLE key projection per residual stream,mac,SharedMatrixCore,OP_PLE,26a_qwen3_8_flash_next_gdn_moe_owner_timing_sequence_v5.mmd,new_family_official_source_mapping,"Qwen3.8 PLE is a layer-2/model prologue, not an ordinary decoder Block operator"
26,Qwen3.8-Flash-Next Hybrid MoE,26_qwen3_8_flash_next_hybrid_moe.mmd,1,GDN + Gated Residual + Top-10 Routed/Shared MoE,f26v01_n006,PLE stream RMSNorm,other,NormCore,OP_PLE,26a_qwen3_8_flash_next_gdn_moe_owner_timing_sequence_v5.mmd,new_family_official_source_mapping,"Qwen3.8 PLE is a layer-2/model prologue, not an ordinary decoder Block operator"
26,Qwen3.8-Flash-Next Hybrid MoE,26_qwen3_8_flash_next_hybrid_moe.mmd,1,GDN + Gated Residual + Top-10 Routed/Shared MoE,f26v01_n007,PLE stream gating,other,ElementwiseTransformCore,OP_PLE,26a_qwen3_8_flash_next_gdn_moe_owner_timing_sequence_v5.mmd,new_family_official_source_mapping,"Qwen3.8 PLE is a layer-2/model prologue, not an ordinary decoder Block operator"
26,Qwen3.8-Flash-Next Hybrid MoE,26_qwen3_8_flash_next_hybrid_moe.mmd,1,GDN + Gated Residual + Top-10 Routed/Shared MoE,f26v01_n008,PLE dilated Depthwise Conv1D,mac,SharedMatrixCore,OP_PLE,26a_qwen3_8_flash_next_gdn_moe_owner_timing_sequence_v5.mmd,new_family_official_source_mapping,"Qwen3.8 PLE is a layer-2/model prologue, not an ordinary decoder Block operator"
26,Qwen3.8-Flash-Next Hybrid MoE,26_qwen3_8_flash_next_hybrid_moe.mmd,1,GDN + Gated Residual + Top-10 Routed/Shared MoE,f26v01_n009,Add PLE feature to 4 residual streams,plus,OutputCommitCore,OP_PLE,26a_qwen3_8_flash_next_gdn_moe_owner_timing_sequence_v5.mmd,new_family_official_source_mapping,"Qwen3.8 PLE is a layer-2/model prologue, not an ordinary decoder Block operator"
26,Qwen3.8-Flash-Next Hybrid MoE,26_qwen3_8_flash_next_hybrid_moe.mmd,2,QSA + Gated Residual + Top-10 Routed/Shared MoE,f26v02_n001,Token ids for PLE n-gram context,input,ActivationReadDmaCore,OP_PLE,26b_qwen3_8_flash_next_qsa_moe_owner_timing_sequence_v5.mmd,new_family_official_source_mapping,"Qwen3.8 PLE is a layer-2/model prologue, not an ordinary decoder Block operator"
