rank,family,downloads_m,share_pct,cumulative_pct,included_90pct,members
1,Qwen2/2.5 dense,74.16,22.105,22.105,True,trl-internal-testing/tiny-Qwen2ForCausalLM-2.5 | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-3B-Instruct | Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-7B-Instruct-AWQ | Qwen/Qwen2.5-14B-Instruct | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-32B-Instruct | Qwen/Qwen2.5-Coder-14B-Instruct | Qwen/Qwen2.5-14B-Instruct-AWQ | Qwen/Qwen2.5-0.5B | Qwen/Qwen2.5-Coder-32B-Instruct | Qwen/Qwen2-1.5B-Instruct | Qwen/Qwen2.5-Coder-32B-Instruct-AWQ | Qwen/Qwen2.5-Coder-14B-Instruct-AWQ
2,Qwen3 dense,67.54,20.132,42.237,True,Qwen/Qwen3-0.6B | Qwen/Qwen3-8B | Qwen/Qwen3-4B | Qwen/Qwen3-1.7B | Qwen/Qwen3-32B | Qwen/Qwen3-4B-Instruct-2507 | Qwen/Qwen3-14B-AWQ | Qwen/Qwen3-14B | Qwen/Qwen3-8B-AWQ | trl-internal-testing/tiny-Qwen3ForCausalLM | Qwen/Qwen3-1.7B-Base | Qwen/Qwen3-4B-Instruct-2507-FP8 | deepseek-ai/DeepSeek-R1-0528-Qwen3-8B | Qwen/Qwen3-4B-Base
3,Llama/Yi/SmolLM dense,32.14,9.58,51.817,True,meta-llama/Llama-3.2-1B-Instruct | meta-llama/Llama-3.1-8B-Instruct | dphn/dolphin-2.9.1-yi-1.5-34b | hmellor/tiny-random-LlamaForCausalLM | HuggingFaceTB/SmolLM2-135M | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | meta-llama/Meta-Llama-3-8B-Instruct | HuggingFaceTB/SmolLM2-135M-Instruct | meta-llama/Llama-3.2-1B | meta-llama/Meta-Llama-3-8B
4,Qwen3.5/3.6 hybrid MoE,22.22,6.623,58.44,True,nvidia/Qwen3.6-35B-A3B-NVFP4 | ornith-ai/Ornith-1.0-35B-GGUF | ornith-ai/Ornith-1.0-35B | Qwen/Qwen3-Coder-Next-FP8 | Bahushruth/Qwen3.6-35B-A3B-abliterated-v4
5,Qwen3 MoE,19.59,5.839,64.279,True,unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF | Qwen/Qwen3-30B-A3B | Qwen/Qwen3-30B-A3B-Instruct-2507 | QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ | Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8
6,GPT-2 dense,18.85,5.619,69.898,True,openai-community/gpt2 | distilbert/distilgpt2 | sshleifer/tiny-gpt2 | openai-community/gpt2-large
7,OPT dense,14.8,4.411,74.309,True,facebook/opt-125m
8,Qwen3.5/3.6 hybrid dense,14.6,4.352,78.661,True,ornith-ai/Ornith-1.0-9B-GGUF | ornith-ai/Ornith-1.0-9B | prism-ml/Ternary-Bonsai-27B-mlx-2bit | prism-ml/Bonsai-27B-mlx-1bit | JonathanColetti/Qwen3.8-27B-Uncensored-GGUF | nvidia/Qwen3.6-27B-NVFP4 | sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP
9,GPT-OSS MoE,12.05,3.592,82.253,True,openai/gpt-oss-20b | openai/gpt-oss-120b
10,Gemma4 dense,10.56,3.148,85.4,True,farbodtavakkoli/OTel-2.0-LLM-31B-IT | nvidia/Gemma-4-31B-IT-NVFP4 | farbodtavakkoli/OTel-LLM-27B-IT
11,GLM DSA MoE,7.61,2.268,87.669,True,zai-org/GLM-5.2 | zai-org/GLM-4.7-Flash | zai-org/GLM-5.2-FP8 | nvidia/GLM-5.2-NVFP4
12,DeepSeek V4 hybrid MoE,6.85,2.042,89.711,True,deepseek-ai/DeepSeek-V4-Flash-0731 | antirez/deepseek-v4-gguf | deepseek-ai/DeepSeek-V4-Flash
13,Gemma3 dense,6.34,1.89,91.6,True,google/gemma-3-1b-it | google/gemma-3-270m
14,DeepSeek V3/R1 MLA MoE,6.22,1.854,93.454,False,deepseek-ai/DeepSeek-R1 | deepseek-ai/DeepSeek-V3.2
15,GPT-NeoX/Pythia dense,3.53,1.052,94.507,False,EleutherAI/pythia-160m
16,Gemma4 MoE,3.22,0.96,95.466,False,nvidia/Gemma-4-26B-A4B-NVFP4 | farbodtavakkoli/OTel-LLM-E4B-IT
17,Kimi K3 hybrid MoE,2.93,0.873,96.34,False,RadixArk/Kimi-K3-DSpark
18,Granite4 hybrid,2.12,0.632,96.972,False,ibm-granite/granite-4.1-8b
19,Qwen1 dense,2.04,0.608,97.58,False,Qwen/Qwen-72B
20,Phi-2 dense,1.56,0.465,98.045,False,microsoft/phi-2
21,BLOOM dense,1.38,0.411,98.456,False,bigscience/bloomz-560m
22,OpenELM dense,1.35,0.402,98.858,False,apple/OpenELM-1_1B-Instruct
23,PowerMoE,1.33,0.396,99.255,False,ibm-research/PowerMoE-3b
24,Nemotron3 hybrid MoE,1.32,0.393,99.648,False,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4
25,Mistral dense,1.18,0.352,100.0,False,mistralai/Mistral-7B-Instruct-v0.2
