group_id,top_module,category,keep_brick_hierarchy,expected_4x4_bricks,throughput_contract,comparison_role,notes,run_id,run_dir,clock_period_ns,clock_mhz,define_fusion_use_dw,rtl_bundle_sha256,library_set_id,mapped_cell_area_um2,leaf_cell_count,blackbox_count,brick_instance_count_precompile,dw_mult_instance_count_precompile,report_dw_mult_4x4_rows,report_other_multiplier_rows,wns_ns,critical_delay_ns,achieved_fmax_mhz,timing_met,tool_version,rtl_bundle_sha256_reported,library_setup_sha256,dc_max_cores,compile_mode_reported,input_transition,output_load,max_transition,clock_uncertainty_ratio,input_delay_ratio,output_delay_ratio,dc_error_count,status,report_dir
BRICK16_BARE_PROOF,mul4x4_array16_proof,proof,1,16,16 unsigned 4x4 products/cycle,bare_multiplier_anchor,Explicit 16-brick lower-level area anchor,BRICK16_BARE_PROOF__T0p9ns,evidence/runs/BRICK16_BARE_PROOF__T0p9ns,0.9,1111.111111111111,1,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,222.859,150.0,0.0,16.0,16.0,16,0,0.691135,0.208865,4787.7815814,1,X-2025.06-SP3,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,0,ok,evidence/runs/BRICK16_BARE_PROOF__T0p9ns/reports
BRICK16_BARE_PROOF,mul4x4_array16_proof,proof,1,16,16 unsigned 4x4 products/cycle,bare_multiplier_anchor,Explicit 16-brick lower-level area anchor,BRICK16_BARE_PROOF__T1p0ns,evidence/runs/BRICK16_BARE_PROOF__T1p0ns,1.0,1000.0,1,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,222.859,150.0,0.0,16.0,16.0,16,0,0.776135,0.223865,4466.97786612,1,X-2025.06-SP3,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,0,ok,evidence/runs/BRICK16_BARE_PROOF__T1p0ns/reports
BRICK16_BARE_PROOF,mul4x4_array16_proof,proof,1,16,16 unsigned 4x4 products/cycle,bare_multiplier_anchor,Explicit 16-brick lower-level area anchor,BRICK16_BARE_PROOF__T2p0ns,evidence/runs/BRICK16_BARE_PROOF__T2p0ns,2.0,500.0,1,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,222.859,150.0,0.0,16.0,16.0,16,0,1.62614,0.37386,2674.79805275,1,X-2025.06-SP3,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,0,ok,evidence/runs/BRICK16_BARE_PROOF__T2p0ns/reports
FUSION16_BF16_ONLY_PIPE,fusion_mul16_bf16_only_pipe_top,dedicated,0,16,BF16 4 products and four accumulations/cycle,dedicated_bf16_reference,Four bricks form each 8x8 BF16 significand multiplier,FUSION16_BF16_ONLY_PIPE__T0p9ns,evidence/runs/FUSION16_BF16_ONLY_PIPE__T0p9ns,0.9,1111.111111111111,1,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,7161.882,14332.0,0.0,16.0,16.0,16,0,-0.0880767,0.9880767,1012.06718061,0,X-2025.06-SP3,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,0,ok,evidence/runs/FUSION16_BF16_ONLY_PIPE__T0p9ns/reports
FUSION16_BF16_ONLY_PIPE,fusion_mul16_bf16_only_pipe_top,dedicated,0,16,BF16 4 products and four accumulations/cycle,dedicated_bf16_reference,Four bricks form each 8x8 BF16 significand multiplier,FUSION16_BF16_ONLY_PIPE__T1p0ns,evidence/runs/FUSION16_BF16_ONLY_PIPE__T1p0ns,1.0,1000.0,1,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,7202.104,14563.0,0.0,16.0,16.0,16,0,3.42727e-05,0.9999657273,1000.03427387,1,X-2025.06-SP3,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,0,ok,evidence/runs/FUSION16_BF16_ONLY_PIPE__T1p0ns/reports
FUSION16_BF16_ONLY_PIPE,fusion_mul16_bf16_only_pipe_top,dedicated,0,16,BF16 4 products and four accumulations/cycle,dedicated_bf16_reference,Four bricks form each 8x8 BF16 significand multiplier,FUSION16_BF16_ONLY_PIPE__T2p0ns,evidence/runs/FUSION16_BF16_ONLY_PIPE__T2p0ns,2.0,500.0,1,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,4296.747,9350.0,0.0,16.0,16.0,16,0,0.000503778,1.999496222,500.125976232,1,X-2025.06-SP3,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,0,ok,evidence/runs/FUSION16_BF16_ONLY_PIPE__T2p0ns/reports
FUSION16_CORE_PPA,fusion_mul16_proof_top,core,0,16,Mode dependent 16/8/4/1 logical products per cycle,product_core_area,Flattened PPA run for decode and partial-product fusion overhead,FUSION16_CORE_PPA__T0p9ns,evidence/runs/FUSION16_CORE_PPA__T0p9ns,0.9,1111.111111111111,1,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,8211.294,17437.0,0.0,16.0,16.0,16,0,-0.103343,1.003343,996.668138413,0,X-2025.06-SP3,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,0,ok,evidence/runs/FUSION16_CORE_PPA__T0p9ns/reports
FUSION16_CORE_PPA,fusion_mul16_proof_top,core,0,16,Mode dependent 16/8/4/1 logical products per cycle,product_core_area,Flattened PPA run for decode and partial-product fusion overhead,FUSION16_CORE_PPA__T1p0ns,evidence/runs/FUSION16_CORE_PPA__T1p0ns,1.0,1000.0,1,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,8665.748,17682.0,0.0,16.0,16.0,16,0,-0.0122304,1.0122304,987.917375333,0,X-2025.06-SP3,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,0,ok,evidence/runs/FUSION16_CORE_PPA__T1p0ns/reports
FUSION16_CORE_PPA,fusion_mul16_proof_top,core,0,16,Mode dependent 16/8/4/1 logical products per cycle,product_core_area,Flattened PPA run for decode and partial-product fusion overhead,FUSION16_CORE_PPA__T2p0ns,evidence/runs/FUSION16_CORE_PPA__T2p0ns,2.0,500.0,1,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,5271.266,12196.0,0.0,16.0,16.0,16,0,0.000439167,1.999560833,500.109815864,1,X-2025.06-SP3,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,0,ok,evidence/runs/FUSION16_CORE_PPA__T2p0ns/reports
FUSION16_CORE_PROOF,fusion_mul16_proof_top,proof,1,16,Mode dependent 16/8/4/1 logical products per cycle,structural_proof,Must retain exactly 16 DW_mult_uns 4x4 and no additional multiplier,FUSION16_CORE_PROOF__T0p9ns,evidence/runs/FUSION16_CORE_PROOF__T0p9ns,0.9,1111.111111111111,1,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,5065.697,12552.0,0.0,16.0,16.0,16,0,-1.41464,2.31464,432.032627104,0,X-2025.06-SP3,cb4be9dbf4eaf99fc1485d123e237efa9992844c9bbf1342e9c2de1340555f07,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,compile_ultra,0.05,0.005,0.2,0.05,0.1,0.1,0,ok,evidence/runs/FUSION16_CORE_PROOF__T0p9ns/reports
