group_id,base_group,architecture_class,rtl_topology,supported_modes,int_w_bits,int_a_bits,fp_sig_width,fp_exp_width,throughput_contract,accumulator_contract,notes,run_id,clock_period_ns,clock_mhz,run_dir,rtl_list,rtl_bundle_sha256,library_set_id,target_libraries,compile_mode,keep_hierarchy,max_cores,mapped_cell_area_um2,leaf_cell_count,blackbox_count,wns_ns,critical_delay_ns,achieved_fmax_mhz,timing_met,rtl_bundle_sha256_reported,library_setup_sha256,tool_version,status,report_dir,combinational_area_um2,noncombinational_area_um2,buf_inv_area_um2,net_interconnect_area_um2,total_cell_area_report_um2
PIPE_MIXREF_BF16,MIXREF_BF16,pipeline_followup,pipelined_fp_mac_dw,BF16xBF16,,,7,8,1 FP MAC/cycle,same-format BF16,Two arithmetic stages,PIPE_MIXREF_BF16__T2p0ns,2.0,500.0,evidence/pipeline/PIPE_MIXREF_BF16__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,444.990004,798,0,0.000246525,1.999753475,500.061638848,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/pipeline/PIPE_MIXREF_BF16__T2p0ns/reports,332.605006,112.384998,24.843,,444.990004
PIPE_MIXREF_BF16,MIXREF_BF16,pipeline_followup,pipelined_fp_mac_dw,BF16xBF16,,,7,8,1 FP MAC/cycle,same-format BF16,Two arithmetic stages,PIPE_MIXREF_BF16__T1p0ns,1.0,1000.0,evidence/pipeline/PIPE_MIXREF_BF16__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,628.901004,1206,0,0.000584006,0.999415994,1000.58434726,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/pipeline/PIPE_MIXREF_BF16__T1p0ns/reports,516.516006,112.384998,53.689999,,628.901004
PIPE_MIXREF_BF16,MIXREF_BF16,pipeline_followup,pipelined_fp_mac_dw,BF16xBF16,,,7,8,1 FP MAC/cycle,same-format BF16,Two arithmetic stages,PIPE_MIXREF_BF16__T0p9ns,0.9,1111.111111111111,evidence/pipeline/PIPE_MIXREF_BF16__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,704.340005,1323,0,0.000560403,0.899439597,1111.80339773,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/pipeline/PIPE_MIXREF_BF16__T0p9ns/reports,591.955007,112.384998,64.609999,,704.340005
PIPE_CONV_I4_FP8,CONV_I4_FP8,pipeline_followup,hybrid_convert_fp_mac_dw_pipeline,I4xFP8/FP8xFP8,4,,3,4,1 FP MAC/cycle,FP8,Register after conversion,PIPE_CONV_I4_FP8__T2p0ns,2.0,500.0,evidence/pipeline/PIPE_CONV_I4_FP8__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,333.424002,736,0,0.000397921,1.999602079,500.099500047,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/pipeline/PIPE_CONV_I4_FP8__T2p0ns/reports,257.348003,76.075999,26.844999,,333.424002
PIPE_CONV_I4_FP8,CONV_I4_FP8,pipeline_followup,hybrid_convert_fp_mac_dw_pipeline,I4xFP8/FP8xFP8,4,,3,4,1 FP MAC/cycle,FP8,Register after conversion,PIPE_CONV_I4_FP8__T1p0ns,1.0,1000.0,evidence/pipeline/PIPE_CONV_I4_FP8__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,713.258006,1310,0,2.80142e-05,0.9999719858,1000.02801498,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/pipeline/PIPE_CONV_I4_FP8__T1p0ns/reports,637.182007,76.075999,68.249999,,713.258006
PIPE_CONV_I4_FP8,CONV_I4_FP8,pipeline_followup,hybrid_convert_fp_mac_dw_pipeline,I4xFP8/FP8xFP8,4,,3,4,1 FP MAC/cycle,FP8,Register after conversion,PIPE_CONV_I4_FP8__T0p9ns,0.9,1111.111111111111,evidence/pipeline/PIPE_CONV_I4_FP8__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,889.616007,1464,0,-0.0260921,0.9260921,1079.80620934,0,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/pipeline/PIPE_CONV_I4_FP8__T0p9ns/reports,813.540009,76.075999,96.004999,,889.616007
PIPE_CONV_I4_BF16,CONV_I4_BF16,pipeline_followup,hybrid_convert_fp_mac_dw_pipeline,I4xBF16/BF16xBF16,4,,7,8,1 FP MAC/cycle,BF16,Register after conversion,PIPE_CONV_I4_BF16__T2p0ns,2.0,500.0,evidence/pipeline/PIPE_CONV_I4_BF16__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,880.425008,1975,0,0.00101995,1.99898005,500.255117604,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/pipeline/PIPE_CONV_I4_BF16__T2p0ns/reports,749.02101,131.403998,69.705999,,880.425008
PIPE_CONV_I4_BF16,CONV_I4_BF16,pipeline_followup,hybrid_convert_fp_mac_dw_pipeline,I4xBF16/BF16xBF16,4,,7,8,1 FP MAC/cycle,BF16,Register after conversion,PIPE_CONV_I4_BF16__T1p0ns,1.0,1000.0,evidence/pipeline/PIPE_CONV_I4_BF16__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,1482.663015,2576,0,-0.156852,1.156852,864.414808463,0,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/pipeline/PIPE_CONV_I4_BF16__T1p0ns/reports,1351.168017,131.494998,140.958999,,1482.663015
PIPE_CONV_I4_BF16,CONV_I4_BF16,pipeline_followup,hybrid_convert_fp_mac_dw_pipeline,I4xBF16/BF16xBF16,4,,7,8,1 FP MAC/cycle,BF16,Register after conversion,PIPE_CONV_I4_BF16__T0p9ns,0.9,1111.111111111111,evidence/pipeline/PIPE_CONV_I4_BF16__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,1470.742014,2556,0,-0.250751,1.150751,868.997724095,0,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/pipeline/PIPE_CONV_I4_BF16__T0p9ns/reports,1339.338016,131.403998,139.320999,,1470.742014
PIPE_SHARED_NATIVE_ALL_DUALACC,SHARED_NATIVE_ALL_DUALACC,pipeline_followup,hybrid_shared_mul_dual_acc_pipeline,I4/I8/FP8/BF16 pairs,8,8,7,8,1 common product/cycle,INT40 + FP32,Register shared product before accumulator,PIPE_SHARED_NATIVE_ALL_DUALACC__T2p0ns,2.0,500.0,evidence/pipeline/PIPE_SHARED_NATIVE_ALL_DUALACC__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,1179.45101,2520,0,0.000349522,1.999650478,500.087395773,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/pipeline/PIPE_SHARED_NATIVE_ALL_DUALACC__T2p0ns/reports,952.952014,226.498996,81.626998,,1179.45101
